,CXL7,CXL8,CXL93,CXL94,CXL95,CXL96,CXL69,CXL70,CXL41,CXL42,CXL73,CXL74,CXL77,CXL78,CXL53,CXL54,CXL19,CXL20,CXL33,CXL34,CXL29,CXL30,CXL35,CXL36,CXL79,CXL80,CXL15,CXL16,CXL3,CXL4,CXL13,CXL14,CXL57,CXL58,CXL23,CXL24,CXL55,CXL56,CXL65,CXL66,CXL47,CXL48,CXL97,CXL39,CXL40,CXL63,CXL64,CXL45,CXL46,CXL17,CXL18,CXL10,CXL9,CXL87,CXL88,CXL49,CXL50,CXL75,CXL76,CXL71,CXL72,CXL5,CXL6,CXL11,CXL12,CXL1,CXL2,CXL43,CXL44,CXL25,CXL26,CXL67,CXL68,CXL91,CXL92,CXL61,CXL62,CXL59,CXL60,CXL31,CXL32,CXL21,CXL22,CXL89,CXL90,CXL85,CXL86,CXL81,CXL82,CXL51,CXL52,CXL83,CXL84,CXL27,CXL28,CXL37,CXL38
DDX11L1,0.0,0.0,0.0,0.0473846889271105,0.0,0.028652975022254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0130031602742896,0.0,0.0,0.0,0.0,0.017257923992606,0.0140160032803861,0.0,0.0,0.0,0.0,0.0,0.0216399311509922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0184058109069544,0.0,0.0,0.0,0.0,0.0,0.016987329434663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0165196548959974,0.0,0.0,0.0,0.0144707606204005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0167866589089908,0.0,0.0,0.0
WASH7P,1.2104123915961371,1.3573262694651276,1.7545910662103417,1.795164205042071,1.4603310499634992,1.3246963877794182,0.8177334734878501,1.0225196226297586,1.4641873802304868,1.7436989759947723,1.4267017512634397,1.1369864755690542,2.152266843608599,0.6524109001500292,1.2338809276578666,1.238619935260609,1.692045826602668,1.0150396269462505,0.8080760166269558,1.2627474008601047,1.677990905841805,0.7157074835608361,1.1565870807915313,1.21196738757052,2.0727834383133823,1.1688889962138511,1.5120567201446726,1.4078444714660212,0.959728684443048,1.1564169570427274,1.8730508677570832,1.0008077029344462,1.252432443147257,1.3881550540648837,0.9229281178542262,1.2707743917583592,1.0164764382107438,0.5097538541265323,0.7919923689301824,1.7462407990627318,2.5246150432253494,1.4141713545614945,1.8958600012571385,1.3727741781704237,2.3066308552173505,1.4814490583847335,1.333197767468192,1.5245592213055186,0.8542282479579273,1.3997871553640902,1.6867764251441826,2.3393577627589552,2.1047907907183148,1.4201701880327842,1.6855189132968569,1.6254637355525776,2.789209227965061,4.003081441518029,2.850762488147028,1.5227839982797728,1.333136693498523,1.80149568194036,2.705147338692385,1.6448053067931967,1.9679970037256849,1.7111516087991574,1.6023129734955222,1.4167208645511606,2.1309860951181165,1.5078388066071933,1.6919144274000932,1.3383554583771784,1.5870498598861942,1.7184231686225018,1.1780573050728058,0.9311282370125772,0.7075584208941285,2.211477121755004,0.6505632528643908,1.328983533168539,0.992404236552252,0.9524595252930638,1.2256096274764878,1.896082734143692,1.5405784539235232,2.047046529091381,1.11748015980922,1.5019591600243287,1.3896466224462989,1.04155157641544,1.628460562895798,1.774301490593874,1.4938023143133667,2.3067056203994167,1.4051454788628397,1.0426556062697363,1.6117794802358465
MIR6859-3,1.243864458199584,5.618099846958909,6.1972615175167975,6.649535207161093,2.9013341889715982,5.483041727604151,0.955672943496612,6.925588286294157,1.6863743825161015,1.3857278332758487,8.503562055692244,4.601513075553303,3.467065785828958,5.017497871552328,3.300003374677725,4.3172743357510015,11.205656430099037,2.830378815282528,2.3609660433888764,1.9005924003587336,1.515351412962754,0.4062692480212981,2.9787156925505123,1.4817809417264944,6.609349224237093,1.935256168976608,6.119464846968953,7.403970989859598,6.83553707019109,4.955453402137258,6.064359247437487,4.5885448189969535,2.3224026695771784,7.325771398600223,5.969993988062536,7.994977417167983,5.874907670685412,2.6419851288680767,6.794669825557798,9.427634748776171,3.611387565950232,6.243612745139148,6.277712896319602,8.766576277507456,6.073501264951309,6.171415989661067,5.635638873121182,1.6226466712056924,2.545725800715791,0.7945850617213803,8.295118485620963,9.491890823025386,9.0532170290281,3.1856142002433625,10.26223552785035,5.045959344511799,4.696188518171486,7.909240696687966,3.4588056771321423,7.664380872910509,8.828763102531882,9.98832010794018,7.801680856537187,2.010979157898293,3.5907676423020147,7.135079702122403,2.2418442700833188,3.0023370792292035,2.93429462747991,6.536118377731508,4.879503681868527,3.8443335739211366,5.6930875590647885,4.636435495442816,0.7801742250751758,3.990050960277953,7.028760489911544,9.968864430333324,1.6156451371687388,1.123564926977905,6.572245703833783,4.428817586164032,6.198176602697938,6.9760560289437015,3.6009022339977284,5.809999707568197,4.284538868659669,3.14109415664531,6.135335251388725,8.622157964076331,5.452867367330358,6.277610209367482,8.131051275734713,7.709519966585085,4.05245822521187,3.382059361513595,7.505218558589027
RP11-34P13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0359725767252859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0583334519726369,0.0,0.0,0.0,0.0,0.0,0.0,0.0374154823871193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR1302-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM138A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0212043122599498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0199489464245036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0225023919242655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0418701643534835,0.0,0.0303839246435426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0200870674250898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0235828585503409,0.0
OR4G4P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR4G11P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR4F5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RP11-34P13.7,0.0302675910386729,0.0205062152223943,0.0848256407389578,0.055161322657365,0.2117989531401703,0.1267505799260077,0.1918527540889604,0.0842619437230278,0.0307765587791451,0.0252897189110997,0.0323314892974521,0.0229031539406839,0.0632744158444361,0.0228925023661807,0.0430182174446142,0.0551535851802863,0.0766892750852187,0.0193705474475857,0.0258527682689925,0.0416232796213828,0.0368738221798057,0.0444868097672274,0.0543619611093491,0.0405640515448476,0.0556714662762445,0.0282549478240278,0.0507641157460947,0.0525480138243746,0.1247494688064932,0.0246648244287317,0.0050306986388736,0.0651323234282384,0.036329280315447,0.0550514222117031,0.0466942248893779,0.0307177706792904,0.0402066950087165,0.0562526803247988,0.0783180859628663,0.055057791769557,0.0366157264991673,0.0071216731526681,0.0572845513888529,0.0118511995163218,0.0201531296548425,0.034655129220608,0.0719958159851227,0.0,0.0077433062465858,0.0797570620192692,0.0302774051004952,0.0298669450444095,0.0629418764383007,0.0415270618849299,0.0985721976288701,0.0644626046158778,0.0771354635834928,0.0481149013575577,0.1104664185664856,0.022085680962705,0.077579238808753,0.0455720455810475,0.015820191395137,0.0183503197446435,0.0436879942165927,0.0612781938990651,0.0900107092872961,0.0958878455255705,0.0,0.0596425187447318,0.0494731094362527,0.0116932672672497,0.0319691113602052,0.0538462717959979,0.1067871322566667,0.0330995297539281,0.0498850419454566,0.1078122154649277,0.0737143514006134,0.0307578160364322,0.0771070924535363,0.0734786502364597,0.0403991266949868,0.0254627917320543,0.0328584744916592,0.0265083185798871,0.0426509505297696,0.1003194322707441,0.0319916261862152,0.0629422159481685,0.0862468196944003,0.0616900462376422,0.0296785553811036,0.046899924649113,0.0986105418910029,0.0462922778951136,0.0547884983343052
